Facility Name,MtCO2pa,Country
Quest,1,USA
Weyburn-Midale,3,USA
Boundary Dam,1,USA
Great Plains Synfuel,3,USA
Lost Cabin Gas Plant,1,USA
Riley Ridge Gas Plant,2,USA
Shute Creek Gas Processing,7,USA
Century Gas Processing Plant,8,USA
Petra Nova Carbon Capture Project,1,USA
Air Products Port Arthur,1,USA
Husky Energy Lloydminster,0.1,USA
Kevin Dome,0.125,USA
Northern Reef Midwest Regional,0.5,USA
Coffeyville,0.8,USA
Enid Fertilizer,0.68,USA
Arkalon Southwest Regional,0.2,USA
Agrium Southwest Regional,0.58,USA
Val Verde,2,USA
Capitol SkyMine,0.075,USA
Lula Oil Field,1,Offshore Brazil
Sleipner,1,North Sea
Snohvit,3,Norway
K12-B,0.2,Netherlands
Uthmaniyah,0.8,Saudi Arabia
Ras Laffan,2,Qatar
CarbFix,3,Iceland
Jilin,0.2,China
Sinopec Zhongyuan,0.1,China
GreenGen,2,China
Chongqing Hechuan Shuanghuai,0.1,China
Shidongkou,0.12,China
Tomakomai,0.3,Japan
Gorgon,4,Australia
