Lease,Formation/Reservoir, Reservoir Temperature (deg F) , Net Pay (ft) , Wellbore Diameter (ft) ,Porosity, Water Saturation , Oil Saturation , Gas Saturation , Gas Specific Gravity ,CO2, H2S ,N2,Condensate Gravity (API),Sep. Temperature (deg F),Sep. Pressure (psi), Oil Gravity (API) , TVD (ft) ,# Stages,# Clusters ,# Clusters per Stage,# of Total Proppant (Lbs), Lateral Length (ft) , Top Perf (ft) , Bottom Perf (ft) , Sandface Temp (deg F) , Static Wellhead Temp (deg F) 
OSPREY,EAGLE FORD,225,78,0.7,0.063,0.26,0.74,0.0,0.9513,0.0217,0.0,0.0045000000000000005,37.29,100,100,37.29,7638.6,28,252,9.0,13514540.0,5883,8030,13913,225.0,70.0
FALCON,EAGLE FORD,225,66,0.7,0.063,0.27,0.73,0.0,0.9936,0.0217,0.0,0.0045000000000000005,34.6,100,100,34.6,7501.8758,64,960,15.0,35970960.0,9997,7828,17825,225.0,60.0
HAWK,EAGLE FORD,225,67,0.7,0.063,0.271,0.7290000000000001,0.0,0.9936,0.0217,0.0,0.0045000000000000005,34.6,100,100,34.6,7516.6753,68,1020,15.0,38064782.0,10672,7824,18496,225.0,60.0
EAGLE,EAGLE FORD,235,74,0.7,0.063,0.27,0.73,0.0,0.92,0.0204,0.0,0.0019,35.46,100,100,35.46,7890.81,50,450,9.0,25267400.0,7481,7958,15439,234.0,60.0
KITE,EAGLE FORD,238,56,0.7,0.05,0.321,0.679,0.0,0.72,0.0,0.0,0.0,43.58,100,100,43.58,8846.83,34,306,9.0,18554774.0,5086,9388,14474,235.0,65.0
SWIFT,EAGLE FORD,225,63,0.7,0.052000000000000005,0.331,0.669,0.0,0.65,0.0,0.0,0.0,30.0,100,100,30.0,8549.0,50,450,9.0,27785630.0,7479,8657,16136,225.0,70.0
SPARROW,EAGLE FORD,225,62,0.7,0.052000000000000005,0.332,0.6679999999999999,0.0,0.65,0.0,0.0,0.0,30.0,100,100,30.0,8536.4,49,441,9.0,27550700.0,7346,8683,16029,225.0,70.0
LARK,EAGLE FORD,228,68,0.7,0.052000000000000005,0.363,0.637,0.0,0.9,0.0,0.0,0.0,30.0,100,100,30.0,8779.86,50,450,9.0,27024578.0,7617,8582,16199,228.0,70.0
CARDINAL,EAGLE FORD,228,67,0.7,0.052000000000000005,0.36,0.64,0.0,0.9,0.0,0.0,0.0,30.0,100,100,30.0,8759.0,49,735,15.0,26576840.0,7574,8652,16226,228.0,70.0
JAY,EAGLE FORD,228,67,0.7,0.052000000000000005,0.361,0.602,0.037000000000000005,0.65,0.0,0.0,0.0,30.0,100,100,30.0,8790.71,48,432,9.0,25986000.0,7624,8549,16173,227.9,70.0
