Entity,Code,Year,Solar (TWh growth – sub method),Coal (TWh growth – sub method),Gas (TWh growth – sub method),Other renewables (TWh growth – sub method),Nuclear (TWh growth – sub method),Hydro (TWh growth – sub method),Wind (TWh growth – sub method),Oil (TWh growth – sub method)
Africa,,1966,0,-0.374,1.126,0,0,4.457,0,30.809
Africa,,1967,0,7.169,-0.124,0,0,1.891,0,-2.876
Africa,,1968,0,13.221,0.143,0,0,7.633,0,19.561
Africa,,1969,0,3.13,1.803,0,0,8.785,0,5.142
Africa,,1970,0,14.114,3.028,0,0,15.36,0,39.871
Africa,,1971,0,22.255,2.885,0.456,0,-4.492,0,54.634
Africa,,1972,0,1.198,6.265,0.003,0,10.055,0,39.686
Africa,,1973,0,24.7,14.881,0.014,0,4.757,0,38.714
Africa,,1974,0,16.736,4.967,0.014,0,12.004,0,18.588
Africa,,1975,0,25.434,9.12,-0.008,0,5.697,0,26.395
Africa,,1976,0,29.994,7.343,0.036,0,11.332,0,65.785
Africa,,1977,0,10.624,7.253,0.011,0,11.475,0,38.895
Africa,,1978,0,-13.883,29.136,0.017,0,1.05,0,37.05
Africa,,1979,0,29.431,51.473,0.017,0,9.051,0,48.978
Africa,,1980,0,36.31,38.071,0.017,0,-3.482,0,45.744
Africa,,1981,0,92.242,41.577,0.031,0,5.225,0,53.502
Africa,,1982,0,65.377,18.242,0.05,0,0.037,0,44.163
Africa,,1983,0,12.07,24.542,-0.017,0,-13.775,0,31.607
Africa,,1984,0,49.652,-11.373,0.011,10.903,-2.103,0,20.491
Africa,,1985,0,24.268,18.94,0.097,3.861,13.777,0,22.094
Africa,,1986,0,18.19,34.428,1.083,9.689,4.71,0,-14.885
Africa,,1987,0,22.964,10.113,-0.003,-7.322,-5.803,0,50.043
Africa,,1988,0,61.841,35.06,-0.089,12.017,12.603,0,48.496
Africa,,1989,0,-54.54,13.027,-0.025,1.683,7.452,0,40.16
Africa,,1990,0,42.189,27.174,0.413,-7.361,2.718,0,17.824
Africa,,1991,0,-24.615,2.99,0.062,1.931,9.436,0,7.936
Africa,,1992,0,5.106,19.635,0.101,0.4,-7.753,0,26.632
Africa,,1993,0,13.314,-8.626,0.254,-5.647,-3.272,0.006,13.752
Africa,,1994,0,22.554,19.184,-0.263,6.783,2.538,0.009,27.555
Africa,,1995,0,27.634,29.416,0.555,4.456,6.036,0.003,42.75
